Al,Co,Fe,Ni,Si,Mn,Cr,Mo,Ti,Cu,Zr,V,Nb,Sn,Zn,Ta,Hf,W,B,C,FCC,BCC,IM
0,0.3181,0.3551,0.3268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.0963,0.3073,0.3045,0.2919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.1742,0.2749,0.2781,0.2728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0.2287,0.2585,0.2613,0.2515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0.2842,0.2392,0.2438,0.2328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0.3052,0.3089,0.3027,0.0831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0.2816,0.2773,0.2728,0.1683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0.2572,0.2631,0.2606,0.2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0,0.33,0.33,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0.25,0.25,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0.33,0,0.33,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0.25,0,0.25,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0.222,0.222,0.222,0,0,0.222,0.112,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.1,0.2,0.2,0.2,0,0,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.182,0.182,0.182,0.182,0,0,0.182,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.25,0.167,0.167,0.167,0,0,0.167,0.082,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.308,0.154,0.154,0.154,0,0,0.154,0.076,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0.27,0.193,0.271,0,0,0.187,0,0.093,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.038,0.261,0.171,0.263,0,0,0.176,0,0.091,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0.245,0.163,0.246,0,0,0.171,0,0.175,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.039,0.239,0.156,0.236,0,0,0.156,0,0.174,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.175,0.075,0.25,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
0,0.2,0.2,0.2,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0.2,0.2,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,1,0,0
0.2,0,0.2,0.2,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0.2,0.2,0,0.2,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0.2,0.2,0,0,0.2,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,1,1
0.2,0.2,0.2,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.272,0.182,0.182,0.182,0,0,0.182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.332,0.167,0.167,0.167,0,0,0.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.384,0.154,0.154,0.154,0,0,0.154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.428,0.143,0.143,0.143,0,0,0.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.2,0.2,0.2,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.2,0.2,0.2,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.196,0.196,0.196,0.196,0,0,0.196,0.0196,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.192,0.192,0.192,0.192,0,0,0.192,0.038,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.189,0.189,0.189,0.189,0,0,0.189,0.056,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.185,0.185,0.185,0.185,0,0,0.185,0.074,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.182,0.182,0.182,0.182,0,0,0.182,0.0909,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.2,0.2,0.2,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.192,0.192,0.192,0.192,0.038,0,0.192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
